name,url,host,exit_code,mode,report_dir
1forge.com-0.0.1,https://api.apis.guru/v2/specs/1forge.com/0.0.1/swagger.json,1forge.com,1,strict,results/swagger2-evaluation/reports/1forge.com-0.0.1
adafruit.com-2.0.0,https://api.apis.guru/v2/specs/adafruit.com/2.0.0/swagger.json,io.adafruit.com,1,strict,results/swagger2-evaluation/reports/adafruit.com-2.0.0
afterbanks.com-3.0.0,https://api.apis.guru/v2/specs/afterbanks.com/3.0.0/swagger.json,www.afterbanks.com,1,strict,results/swagger2-evaluation/reports/afterbanks.com-3.0.0
aiception.com-1.0.0,https://api.apis.guru/v2/specs/aiception.com/1.0.0/swagger.json,aiception.com,1,strict,results/swagger2-evaluation/reports/aiception.com-1.0.0
airport-web.appspot.com-v1,https://api.apis.guru/v2/specs/airport-web.appspot.com/v1/swagger.json,airport-web.appspot.com,1,strict,results/swagger2-evaluation/reports/airport-web.appspot.com-v1
akeneo.com-1.0.0,https://api.apis.guru/v2/specs/akeneo.com/1.0.0/swagger.json,demo.akeneo.com,1,strict,results/swagger2-evaluation/reports/akeneo.com-1.0.0
amadeus.com:amadeus-airline-code-lookup-1.1.1,https://api.apis.guru/v2/specs/amadeus.com/amadeus-airline-code-lookup/1.1.1/swagger.json,test.api.amadeus.com,1,strict,results/swagger2-evaluation/reports/amadeus.com_amadeus-airline-code-lookup-1.1.1
amadeus.com:amadeus-airport-&-city-search-1.2.3,https://api.apis.guru/v2/specs/amadeus.com/amadeus-airport-&-city-search/1.2.3/swagger.json,test.api.amadeus.com,1,strict,results/swagger2-evaluation/reports/amadeus.com_amadeus-airport-_-city-search-1.2.3
appveyor.com-1.0.0,https://api.apis.guru/v2/specs/appveyor.com/1.0.0/swagger.json,ci.appveyor.com,1,strict,results/swagger2-evaluation/reports/appveyor.com-1.0.0
aucklandmuseum.com-2.0.0,https://api.apis.guru/v2/specs/aucklandmuseum.com/2.0.0/swagger.json,api.aucklandmuseum.com,1,strict,results/swagger2-evaluation/reports/aucklandmuseum.com-2.0.0
autotask.net-v1,https://api.apis.guru/v2/specs/autotask.net/v1/swagger.json,webservices5.autotask.net,1,strict,results/swagger2-evaluation/reports/autotask.net-v1
avaza.com-v1,https://api.apis.guru/v2/specs/avaza.com/v1/swagger.json,api.avaza.com,1,strict,results/swagger2-evaluation/reports/avaza.com-v1
aviationdata.systems-v1,https://api.apis.guru/v2/specs/aviationdata.systems/v1/swagger.json,api.aviationdata.systems,1,strict,results/swagger2-evaluation/reports/aviationdata.systems-v1
azure.com:EnterpriseKnowledgeGraph-EnterpriseKnowledgeGraphSwagger-2018-12-03,https://api.apis.guru/v2/specs/azure.com/EnterpriseKnowledgeGraph-EnterpriseKnowledgeGraphSwagger/2018-12-03/swagger.json,management.azure.com,1,strict,results/swagger2-evaluation/reports/azure.com_EnterpriseKnowledgeGraph-EnterpriseKnowledgeGraphSwagger-2018-12-03
azure.com:addons-Addons-2017-05-15,https://api.apis.guru/v2/specs/azure.com/addons-Addons/2017-05-15/swagger.json,management.azure.com,1,strict,results/swagger2-evaluation/reports/azure.com_addons-Addons-2017-05-15
bandsintown.com-3.0.0,https://api.apis.guru/v2/specs/bandsintown.com/3.0.0/swagger.json,rest.bandsintown.com,1,strict,results/swagger2-evaluation/reports/bandsintown.com-3.0.0
bbc.co.uk-1.0.0,https://api.apis.guru/v2/specs/bbc.co.uk/1.0.0/swagger.json,rms.api.bbc.co.uk,1,strict,results/swagger2-evaluation/reports/bbc.co.uk-1.0.0
beanstream.com-1.0.1,https://api.apis.guru/v2/specs/beanstream.com/1.0.1/swagger.json,www.beanstream.com,1,strict,results/swagger2-evaluation/reports/beanstream.com-1.0.1
bethmardutho.org-1.0.0,https://api.apis.guru/v2/specs/bethmardutho.org/1.0.0/swagger.json,sedra.bethmardutho.org,1,strict,results/swagger2-evaluation/reports/bethmardutho.org-1.0.0
blazemeter.com-4,https://api.apis.guru/v2/specs/blazemeter.com/4/swagger.json,a.blazemeter.com,1,strict,results/swagger2-evaluation/reports/blazemeter.com-4
